condition_name,section,content,source_url,source_path
Symptoms and diagnosis - Acne,symptoms,Acne causes spots and oily skin. Sometimes it can cause skin that's hot or sore to touch.,https://www2.hse.ie/conditions/acne/#symptoms-of-acne,/conditions/acne/
Symptoms and diagnosis - Acne,types_of_acne_spots,"There are 6 main types of spot caused by acne:

Blackheads
Blackheads are small black or yellowish bumps that you can get on your skin. They're not filled with dirt. Their colour comes from the inside of a tiny hole in the skin which has become blocked.

Blackheads are small black or yellowish bumps that you can get on your skin. They're not filled with dirt. Their colour comes from the inside of a tiny hole in the skin which has become blocked.

Whiteheads
Whiteheads look like blackheads, but may be firmer and do not empty when squeezed.

Whiteheads look like blackheads, but may be firmer and do not empty when squeezed.

Papules
Papules are small red bumps that may feel tender or sore.

Papules are small red bumps that may feel tender or sore.

Pustules
Pustules are like papules but have a white tip in the middle. A build-up of pus causes them.

Pustules are like papules but have a white tip in the middle. A build-up of pus causes them.

Nodules
Nodules are large hard lumps. They build up under your skin and can be painful.

Nodules are large hard lumps. They build up under your skin and can be painful.

Cysts
Cysts are large pus-filled lumps. They look like boils. If you have these, you are at more risk of getting permanent scarring.

Cysts are large pus-filled lumps. They look like boils. If you have these, you are at more risk of getting permanent scarring.",https://www2.hse.ie/conditions/acne/#types-of-acne-spots,/conditions/acne/
Symptoms and diagnosis - Acne,different_levels_of_acne_symptoms,"You can have different types of spots depending on how bad your acne is.

Mild acne
You have mild acne when you have whiteheads and blackheads, with a few papules and pustules

You have mild acne when you have whiteheads and blackheads, with a few papules and pustules

Moderate acne
When you have more whiteheads and blackheads, with many papules and pustules you have moderate acne.

When you have more whiteheads and blackheads, with many papules and pustules you have moderate acne.

Severe acne
Severe acne is when you have sore papules, pustules, nodules or cysts. You might also have some acne scarring. This happens when spots burst and damage your skin.

Severe acne is when you have sore papules, pustules, nodules or cysts. You might also have some acne scarring. This happens when spots burst and damage your skin.",https://www2.hse.ie/conditions/acne/#different-levels-of-acne-symptoms,/conditions/acne/
Symptoms and diagnosis - Acne,who_can_get_acne,"Acne is very common in teenagers and younger adults. About 8 in 10 people age 11 to 30 get acne.

Acne is most common in girls age 14 to 17, and in boys age 16 to 19.

Most people have acne on and off for a few years before their symptoms start to get better as they get older. Acne often goes away when a person is in their mid-20s.

In some cases, people keep on getting acne as adults. Other people can start getting it when they are adults. About 1 in 20 women and 1 in 100 men have acne over the age of 25.",https://www2.hse.ie/conditions/acne/#who-can-get-acne,/conditions/acne/
Symptoms and diagnosis - Acne,diagnosing_acne,"If you have mild symptoms you can ask your pharmacist for advice.

Your treatment will depend on the type of acne you have.

Your GP can tell you if you have acne by looking at your skin.

They will look for the different types of spot, such as blackheads or sore, red nodules.

Treatment",https://www2.hse.ie/conditions/acne/#diagnosing-acne,/conditions/acne/
Acute cholecystitis,symptoms,"The main symptom of acute cholecystitis is sudden, sharp pain in the upper right of your abdomen (tummy). This pain spreads towards your right shoulder. The pain can last longer than 5 hours.

The affected part of the tummy is usually very tender, and taking deep breaths can make the pain worse.

Some people may have more symptoms, such as:

- a fever (high temperature of 38 degrees Celsius or above)
- feeling or being sick
- sweating
- loss of appetite
- jaundice (yellowing of the skin and the whites of the eyes)
- a bulge in the tummy",https://www2.hse.ie/conditions/acute-cholecystitis/#symptoms-of-cholecystitis,/conditions/acute-cholecystitis/
Acute cholecystitis,types_of_acute_cholecystitis,"There are 2 types of acute cholecystitis:

- calculous cholecystitis
- acalculous cholecystitis

Causes of calculous cholecystitis
Calculous cholecystitis is the less serious type but is the most common type of acute cholecystitis.
Calculous cholecystitis develops when a gallstone or biliary sludge blocks the cystic duct.
Biliary sludge is a mixture of bile, and small cholesterol and salt crystals. Bile is a liquid produced by the liver that helps digest fats.
The blockage in the cystic duct causes bile to build up in the gallbladder. The pressure inside the gallbladder increases and it becomes inflamed (swollen).
In around 1 in 5 cases, the inflamed gallbladder also becomes infected by bacteria.

Calculous cholecystitis is the less serious type but is the most common type of acute cholecystitis.

Calculous cholecystitis develops when a gallstone or biliary sludge blocks the cystic duct.

Biliary sludge is a mixture of bile, and small cholesterol and salt crystals. Bile is a liquid produced by the liver that helps digest fats.

The blockage in the cystic duct causes bile to build up in the gallbladder. The pressure inside the gallbladder increases and it becomes inflamed (swollen).

In around 1 in 5 cases, the inflamed gallbladder also becomes infected by bacteria.

Causes of acalculous cholecystitis
Acalculous cholecystitis is a less common type of acute cholecystitis. It is usually more serious than other types.
It usually develops as a complication of a serious illness, infection or injury.
Acalculous cholecystitis can happen after accidental damage to the gallbladder caused by:
- major surgery
- serious injuries or burns
- sepsis
- severe malnutrition
- HIV/AIDS

Acalculous cholecystitis is a less common type of acute cholecystitis. It is usually more serious than other types.

It usually develops as a complication of a serious illness, infection or injury.

Acalculous cholecystitis can happen after accidental damage to the gallbladder caused by:

- major surgery
- serious injuries or burns
- sepsis
- severe malnutrition
- HIV/AIDS",https://www2.hse.ie/conditions/acute-cholecystitis/#types-of-acute-cholecystitis,/conditions/acute-cholecystitis/
Acute cholecystitis,diagnosing_acute_cholecystitis,"Your GP will do a simple test by asking you to take a deep breath with their hand pressed on your tummy, below your rib cage.

Your gallbladder moves downwards as you breathe in. If you have cholecystitis, you'll feel sudden pain when your gallbladder is near your GP's hand.

If you have symptoms of acute cholecystitis, your GP will refer you to a hospital. You will need more tests and treatment.

Tests include:

- blood tests – to check for signs of inflammation in your body
- an ultrasound scan – to check for gallstones or other problems with your gallbladder

You may need other scans, such as an X-ray, CT scan or MRI scan. These can examine your gallbladder in more detail to help confirm your diagnosis.",https://www2.hse.ie/conditions/acute-cholecystitis/#diagnosing-acute-cholecystitis,/conditions/acute-cholecystitis/
Acute cholecystitis,treating_acute_cholecystitis,"If you have acute cholecystitis, you will need to go to hospital for treatment.

Initial treatment for acute cholecystitis
Initial treatment usually involves:
- fasting (not eating or drinking) to take the strain off your gallbladder
- receiving intravenous (through a drip into a vein) fluids to prevent dehydration
- taking medicine for your pain
You'll also be given antibiotics if you have an infection.
You need to continue treatments for about a week. You may need to stay in hospital.
After initial treatment, any gallstones usually fall back into the gallbladder. The inflammation will often improve.

Initial treatment usually involves:

- fasting (not eating or drinking) to take the strain off your gallbladder
- receiving intravenous (through a drip into a vein) fluids to prevent dehydration
- taking medicine for your pain

You'll also be given antibiotics if you have an infection.

You need to continue treatments for about a week. You may need to stay in hospital.

After initial treatment, any gallstones usually fall back into the gallbladder. The inflammation will often improve.

Surgery to remove the gallbladder
After initial treatment, you may need your gallbladder removed. This prevents acute cholecystitis from coming back. It also reduces your risk of developing serious complications.
Some people without a gallbladder have bloating or diarrhoea after eating certain foods. But it's possible to lead a normal life without a gallbladder.
I's not essential to have a gallbladder. Your liver will still produce bile to digest food.
Gallbladder removal

After initial treatment, you may need your gallbladder removed. This prevents acute cholecystitis from coming back. It also reduces your risk of developing serious complications.

Some people without a gallbladder have bloating or diarrhoea after eating certain foods. But it's possible to lead a normal life without a gallbladder.

I's not essential to have a gallbladder. Your liver will still produce bile to digest food.

Gallbladder removal",https://www2.hse.ie/conditions/acute-cholecystitis/#treating-acute-cholecystitis,/conditions/acute-cholecystitis/
Acute cholecystitis,complications_of_acute_cholecystitis,"Without proper treatment, acute cholecystitis can sometimes lead to life-threatening complications.

The main complications of acute cholecystitis are gangrenous cholecystitis and perforated gallbladder.

Gangrenous cholecystitis is the death of gallbladder tissue. This can cause a serious infection that can spread throughout the body.

Perforated gallbladder is when the gallbladder splits open. This can spread the infection in your tummy. It can also cause an abscess (a build-up of pus).

In about 1 in 5 cases, people need emergency surgery to remove the gallbladder.",https://www2.hse.ie/conditions/acute-cholecystitis/#complications-of-acute-cholecystitis,/conditions/acute-cholecystitis/
Acute cholecystitis,prevention,"It's not always possible to prevent acute cholecystitis. You can reduce your risk of developing it by reducing your risk of getting gallstones.

You may be able to help prevent gallstones by:

- changing your diet
- losing weight - if you're overweight

Preventing gallstones

The gallbladder
The gallbladder is a small, pouch-like organ. It's found underneath the liver. Its main purpose is to store and concentrate bile.
Bile is a liquid produced by the liver to help digest fats. It's passed from the liver into the gallbladder through a series of channels. These are known as bile ducts

The gallbladder is a small, pouch-like organ. It's found underneath the liver. Its main purpose is to store and concentrate bile.

Bile is a liquid produced by the liver to help digest fats. It's passed from the liver into the gallbladder through a series of channels. These are known as bile ducts",https://www2.hse.ie/conditions/acute-cholecystitis/#preventing-acute-cholecystitis,/conditions/acute-cholecystitis/
"ADA-SCID: symptoms, diagnosis and treatment",diagnosing_ada-scid,"At around 5 days old, your baby will be offered heel prick screening to check for ADA-SCID . This involves pricking your baby's heel to collect drops of blood to test.

If ADA-SCID is diagnosed, your baby is at risk of severe life-threatening infections and other complications. This can be avoided with early diagnosis and the correct treatment.",https://www2.hse.ie/conditions/ada-scid/#diagnosing-ada-scid,/conditions/ada-scid/
"ADA-SCID: symptoms, diagnosis and treatment",symptoms,"Early symptoms in babies under 6 months include:

- frequent, severe infections, such as chronic diarrhoea or pneumonia
- slower growth and development than most children
- issues with their bones - for example, unusual rib-ends that may be seen on an x-ray of their chest
- breathing difficulties

As children grow older, symptoms can include:

- slow development of the central nervous system
- hearing problems - some children may lose their hearing over time
- learning and behavioural difficulties
- problems with organs such as their liver, kidneys or lungs",https://www2.hse.ie/conditions/ada-scid/#symptoms-of-ada-scid,/conditions/ada-scid/
"ADA-SCID: symptoms, diagnosis and treatment",treating_ada-scid,"Patients diagnosed with ADA-SCID will start on enzyme replacement therapy (ERT).

Enzyme replacement therapy corrects the ADA and adenosine levels in the blood. This usually leads to improved immune function.

Patients are also given treatments to protect them from severe infection, such as antibiotics and immunoglobulin replacement therapy. This combination of treatments can help keep the patient safe until they can get long-term treatment.

Long-term treatment options include:

- haematopoietic stem cell transplantation (HSCT)
- gene therapy

You need to travel abroad for HSCT and gene therapy.",https://www2.hse.ie/conditions/ada-scid/#treating-ada-scid,/conditions/ada-scid/
"ADA-SCID: symptoms, diagnosis and treatment",how_ada-scid_is_inherited,"ADA-SCID is caused by changes (mutations) in the ADA gene, which result in no or very low levels of the enzyme ADA.

Enzymes are protein substances that help speed up chemical reactions in the body.

If the body does not have enough of the ADA enzyme, a toxic substance called deoxyadenosine builds up. This stops cells from dividing properly. It makes it harder for the body to fight infections.

Both parents usually carry a copy of the gene. Their children have a 1 in 4 chance of being affected.",https://www2.hse.ie/conditions/ada-scid/#how-ada-scid-is-inherited,/conditions/ada-scid/
Addison's disease,symptoms,"Early symptoms of Addison's disease are like other more common health conditions. For example depression or flu .

You may experience:

- lack of energy or motivation (fatigue)
- muscle weakness
- low mood
- loss of appetite and unintentional weight loss
- increased thirst

Over time, these problems may become more severe. You may experience further symptoms, such as dizziness, fainting, cramps and exhaustion. You may also develop small areas of darkened skin, or darkened lips or gums.

These symptoms are not always caused by Addison's disease. But you should see a GP so they can be investigated.

Symptoms of Addison's disease",https://www2.hse.ie/conditions/addisons-disease/#symptoms-of-addisons-disease,/conditions/addisons-disease/
Addison's disease,causes,"The condition is usually the result of a problem with the immune system. It causes it to attack the outer layer of the adrenal gland (the adrenal cortex). This disrupts the production of the steroid hormones aldosterone and cortisol.

It's not clear why this happens, but it's responsible for 70% to 90% of cases in Ireland.

Other causes include conditions that can damage the adrenal glands, such as tuberculosis (TB). But this is not common in Ireland.

Causes of Addison's disease",https://www2.hse.ie/conditions/addisons-disease/#causes-of-addisons-disease,/conditions/addisons-disease/
Addison's disease,treating_addisons_disease,"Addison's disease is treated with medication to replace the missing hormones. You'll need to take the medication for the rest of your life.

With treatment, symptoms of Addison's disease can be controlled. Most people with the condition have a normal lifespan. They are able to live an active life with few limitations.

But many people with Addison's disease also find they must learn to manage bouts of fatigue. There may also be related health conditions, like diabetes or an underactive thyroid.

People with Addison's disease must be aware of the risk of their symptoms suddenly getting worse. This could be an adrenal crisis. This can happen when the levels of cortisol in your body fall significantly.

An adrenal crisis is a medical emergency. If left untreated, it can be fatal.",https://www2.hse.ie/conditions/addisons-disease/#treating-addisons-disease,/conditions/addisons-disease/
Symptoms - Agoraphobia,symptoms,"The symptoms of agoraphobia can fall into 3 types:

- physical
- cognitive
- behavioural",https://www2.hse.ie/conditions/agoraphobia/#symptoms-of-agoraphobia,/conditions/agoraphobia/
Symptoms - Agoraphobia,physical_symptoms,"The physical symptoms of agoraphobia usually only happen in situations or environments that cause anxiety.

The physical symptoms of agoraphobia can be similar to those of a panic attack .

They may include:

- rapid heartbeat
- rapid breathing (hyperventilating)
- feeling hot and sweaty
- feeling sick
- chest pain
- difficulty swallowing (dysphagia)
- diarrhoea
- trembling
- dizziness
- ringing in your ears ( tinnitus )
- feeling faint",https://www2.hse.ie/conditions/agoraphobia/#physical-symptoms,/conditions/agoraphobia/
Symptoms - Agoraphobia,cognitive_symptoms,"The cognitive symptoms of agoraphobia are feelings or thoughts that can be related to the physical symptoms.

You may fear that:

- a panic attack will make you look stupid or feel embarrassed in front of other people
- a panic attack will be life threatening - for example, you may be worried your heart will stop or you'll not be able to breathe
- you may not be able to leave a place or situation
- you're losing your sanity
- you may tremble and blush in front of people
- people may stare at you

You may also have psychological symptoms that are not related to panic attacks.

You may:

- feel you cannot function or survive without the help of others
- have a fear of being left alone in your house (monophobia)
- have a general feeling of anxiety or dread",https://www2.hse.ie/conditions/agoraphobia/#cognitive-symptoms,/conditions/agoraphobia/
Symptoms - Agoraphobia,behavioural_symptoms,"Behavioural symptoms of agoraphobia are things you do or how you act.

You may:

- avoid situations that could lead to panic attacks - such as crowded places, public transport or queues
- be housebound - not be able to leave the house for long periods of time
- need to be with someone you trust when going anywhere
- avoid being far away from home

Some people are able to force themselves to confront uncomfortable situations. But they feel a lot of fear and anxiety while doing so.",https://www2.hse.ie/conditions/agoraphobia/#behavioural-symptoms,/conditions/agoraphobia/
Symptoms - Agoraphobia,when_to_get_help,"Contact your GP if you have symptoms of agoraphobia and they're interfering with your life, such as:

- chest pain
- shortness of breath
- headaches
- dizziness
- fainting episodes
- unexplained weakness
- the sensation that your heart is beating irregularly (palpitations)
- depression
- thoughts of suicide
- thoughts of self-harm

Your GP can make a diagnosis and recommend the best treatment.",https://www2.hse.ie/conditions/agoraphobia/#when-to-get-help,/conditions/agoraphobia/
Overview and symptoms - Allergic rhinitis,symptoms,"Allergic rhinitis causes cold-like symptoms, such as:

- sneezing
- an itchy nose
- a blocked or runny nose

Symptoms usually start soon after you're exposed to an allergen.

Some people only get allergic rhinitis for a few months at a time. This is because they're sensitive to seasonal allergens, such as tree or grass pollen. Other people get allergic rhinitis all year round.

Most people with allergic rhinitis have mild symptoms.

But for some people, symptoms can be severe and persistent. They can cause sleep problems and interfere with everyday life.

The symptoms of allergic rhinitis can improve with time. But this can take many years. It's unlikely that the condition will disappear completely.",https://www2.hse.ie/conditions/allergic-rhinitis/#symptoms-of-allergic-rhinitis,/conditions/allergic-rhinitis/
Overview and symptoms - Allergic rhinitis,causes,"The immune system defends your body against illness and infection. If you have allergic rhinitis, your immune system reacts to an allergen as if it's harmful.

Your cells release chemicals that swell the mucous membrane (the inside layer of your nose). Your body produces too much mucus.

Common allergens that cause allergic rhinitis include:

- pollen (this type of allergic rhinitis is hay fever )
- mould spores
- house dust mites
- flakes of skin from some animals
- droplets of pee or saliva from some animals

Causes of allergic rhinitis",https://www2.hse.ie/conditions/allergic-rhinitis/#causes-of-allergic-rhinitis,/conditions/allergic-rhinitis/
Overview and symptoms - Allergic rhinitis,treating_and_preventing_allergic_rhinitis,"It's hard to completely avoid allergens. But you can try to reduce your exposure to allergens that may trigger your allergic rhinitis. This can help improve your symptoms.

If your symptoms are mild, it may help to:

- talk to your pharmacist about medicines that are available without a prescription
- rinse your nasal passages with a salt water solution to keep your nose free of allergens

Ask your GP or pharmacist for advice if you have tried these steps and they do not help.

They may prescribe medicines to treat or prevent allergic rhinitis.

These may include:

- antihistamines - such as cetirizine, loratadine and fexofenadine
- steroid nasal sprays - such as momentasone, fluticasone and beclomethasone",https://www2.hse.ie/conditions/allergic-rhinitis/#treating-and-preventing-allergic-rhinitis,/conditions/allergic-rhinitis/
Overview and symptoms - Allergic rhinitis,complications_of_allergic_rhinitis,"Allergic rhinitis can sometimes cause other problems.

These include:

- nasal polyps - sacs of fluid that grow inside the nasal passages and sinuses
- sinusitis - an infection caused by nasal inflammation and swelling
- middle ear infections - infection of the part of the ear behind the eardrum

You can often treat these problems with medicines. But you may need surgery for severe or long-term cases.

Complications of allergic rhinitis",https://www2.hse.ie/conditions/allergic-rhinitis/#complications-of-allergic-rhinitis,/conditions/allergic-rhinitis/
Overview and symptoms - Allergic rhinitis,non-allergic_rhinitis,"The cause of rhinitis is not always an allergic reaction.

Sometimes the cause is:

- an infection, such as the common cold
- breathing in poor quality air that is dusty or dry, including air from air conditioning
- overuse of nasal decongestants

This type of rhinitis is called non-allergic rhinitis (perennial).",https://www2.hse.ie/conditions/allergic-rhinitis/#non-allergic-rhinitis,/conditions/allergic-rhinitis/
Allergies,common_allergies,"Substances that cause allergic reactions are called allergens.

The more common allergens include:

- grass and tree pollen – an allergy to these is known as hay fever (allergic rhinitis)
- dust mites
- flakes of skin or hair from animals
- food – particularly nuts, fruit, shellfish, eggs and cows' milk
- insect bites and stings
- medicines – including ibuprofen, aspirin and certain antibiotics
- latex – used to make some gloves and condoms
- mould – these can release small particles into the air that you can breathe in
- household chemicals – including those in detergents and hair dyes

Most of these allergens are harmless to people who are not allergic to them.",https://www2.hse.ie/conditions/allergies/#common-allergies,/conditions/allergies/
Allergies,symptoms,"Allergic reactions usually happen within a few minutes of exposure to an allergen.

They can cause:

- sneezing
- a runny or blocked nose
- red, itchy, watery eyes
- wheezing and coughing
- a red, itchy rash
- worsening of asthma or eczema symptoms",https://www2.hse.ie/conditions/allergies/#symptoms-of-an-allergic-reaction,/conditions/allergies/
Allergies,getting_help_for_allergies,"Contact your GP if you think you or your child might have had an allergic reaction to something.

The symptoms of an allergic reaction can also be caused by other conditions.

Your GP can help find out if you have an allergy. If you have a mild allergy, they can offer advice and treatment to help manage the condition. They may refer you to an allergy specialist for testing and treatment, if your allergy is severe or the cause is not known.",https://www2.hse.ie/conditions/allergies/#getting-help-for-allergies,/conditions/allergies/
Allergies,managing_an_allergy,"The most effective way of managing an allergy is to avoid the allergen that causes the reaction.

For example, if you have a food allergy, check a food's ingredients list for the allergen before eating it.

Medicines that help control symptoms of allergic reactions include:

- antihistamines – you can take these when you notice the symptoms of a reaction, or before being exposed to an allergen, to stop a reaction occurring
- decongestants – tablets, capsules, nasal sprays or liquids used as a short-term treatment for a blocked nose
- lotions and creams, such as moisturising creams (emollients) can reduce skin redness and itchiness
- steroid medicines – can help reduce redness and swelling caused by an allergic reaction

If you have a very severe allergy, you may need immunotherapy. Immunotherapy exposes you to the allergen in a controlled way over a period of time. Your body gets used to it and does not react to it so severely.",https://www2.hse.ie/conditions/allergies/#managing-an-allergy,/conditions/allergies/
Allergies,causes,"Allergies happen when your body's immune system reacts to a particular substance as though it's harmful.

The number of people with allergies increases every year. The reasons for this are not understood. It could be the result of living in a cleaner, germ-free environment. This reduces the number of germs our immune system has to deal with.",https://www2.hse.ie/conditions/allergies/#causes-of-allergies,/conditions/allergies/
Allergies,allergies_sensitivities_intolerances,"Allergy
A reaction the body has to a substance.

A reaction the body has to a substance.

Sensitivity
The exaggeration of the normal effects of a substance. For example, the caffeine in a cup of coffee may cause extreme symptoms, such as palpitations and trembling.

The exaggeration of the normal effects of a substance. For example, the caffeine in a cup of coffee may cause extreme symptoms, such as palpitations and trembling.

Intolerance
Where a substance causes unpleasant symptoms, such as diarrhoea, but does not involve the immune system. People with an intolerance to certain foods can often eat a small amount without having any problems.

Where a substance causes unpleasant symptoms, such as diarrhoea, but does not involve the immune system. People with an intolerance to certain foods can often eat a small amount without having any problems.",https://www2.hse.ie/conditions/allergies/#allergies-sensitivities-intolerances,/conditions/allergies/
Alpha-1 antitrypsin deficiency,symptoms,"People with AAT deficiency may not develop related diseases and may have no symptoms. You might never know you have the disorder. People who have symptoms usually notice them between ages 20 and 50.

The symptoms of AAT deficiency are like those caused by chronic obstructive pulmonary disease (COPD).

Symptoms may include:

- increasing shortness of breath
- a chesty cough with phlegm that never seems to go away
- frequent chest infections
- ongoing wheezing

Symptoms may increase when you have a cold or flu.

When the liver is affected by AAT deficiency, symptoms may include:

- tiredness
- loss of appetite
- weight loss
- swelling of the feet or belly
- yellowish discolouration of the skin (jaundice) or the white part of the eyes
- vomiting of blood
- blood in your poo

Talk to your GP if you have these symptoms.",https://www2.hse.ie/conditions/alpha-1-antitrypsin-deficiency/#symptoms-of-aat-deficiency,/conditions/alpha-1-antitrypsin-deficiency/
Alpha-1 antitrypsin deficiency,diagnosing_aat_deficiency,AAT deficiency runs in families. Many people do not know that they have it. Early diagnosis can help prevent serious lung disease.,https://www2.hse.ie/conditions/alpha-1-antitrypsin-deficiency/#diagnosing-aat-deficiency,/conditions/alpha-1-antitrypsin-deficiency/
Alpha-1 antitrypsin deficiency,treatment,"AAT deficiency has no cure. You may need oxygen therapy, pulmonary rehabilitation, or medicines to treat complications. If you smoke, you should stop. You should also avoid secondhand smoke and other harmful fumes.

If you have complications from AAT deficiency, you may also need:

- medicines called inhaled bronchodilators and inhaled steroids - these medicines help open your airways and make breathing easier
- oxygen therapy
- pulmonary rehabilitation
- a lung transplant - only if you have very severe breathing problems and have a good chance of surviving the transplant surgery",https://www2.hse.ie/conditions/alpha-1-antitrypsin-deficiency/#treatment-for-aat-deficiency,/conditions/alpha-1-antitrypsin-deficiency/
