chunk_id,condition_name,question,answer,section,source_url,source_path
abscess::symptoms,Abscess,What are the symptoms of abscess?,"A skin abscess often appears as a swollen, pus-filled lump under the surface of the skin. You may also have other symptoms of an infection, such as a high temperature and chills.",symptoms,https://www2.hse.ie/conditions/abscess/#symptoms-of-an-abscess,/conditions/abscess/
abscess::causes,Abscess,What causes abscess?,"Most abscesses are caused by a bacterial infection.

Your immune system fights the bacteria with white blood cells.

When this happens, some nearby tissue dies, creating a hole that fills with pus to form an abscess. The pus contains a mixture of dead tissue, white blood cells and bacteria.

Internal abscesses often develop as a complication of an existing condition. For example, an infection somewhere else in your body.

Read about the causes of an abscess",causes,https://www2.hse.ie/conditions/abscess/#causes-of-abscesses,/conditions/abscess/
abscess::prevention,Abscess,How can abscess be prevented?,"Most skin abscesses are caused by bacteria getting into:

- a minor wound
- the root of a hair
- a blocked oil or sweat gland

Make sure your skin is clean, healthy and free of bacteria. This can help reduce the risk of developing a skin abscess.

Wait until the abscess is fully treated and healed before using any communal equipment. For example, gym equipment, saunas or swimming pools.

You can also reduce the risk of bacteria spreading by:

- washing your hands regularly
- encouraging people in your family to wash their hands regularly
- using separate towels and not sharing baths

Do not squeeze the pus out of the abscess. This can easily spread the bacteria to other areas of your skin. If you use tissues to wipe away any pus, throw them in the bin straight away to avoid germs spreading. Wash your hands after.

Take care when shaving your face, legs, underarm areas or bikini area to avoid nicking your skin, do not:

- share razors
- share toothbrushes
- use unclean razors
- use blunt razors

You can also reduce your risk by:

- maintaining a healthy, balanced diet
- losing weight if you're overweight or obese
- stopping smoking

It's difficult to prevent internal abscesses, as they're often complications of other conditions.",prevention,https://www2.hse.ie/conditions/abscess/#preventing-a-skin-abscess,/conditions/abscess/
abscess::other_types_of_abscess,Abscess,What should I know about abscess and other types of abscess?,"There are many other types of abscess, including:

- an anorectal abscess - a build-up of pus inside the bottom (rectum and anus)
- a Bartholin's cyst - a build-up of pus inside one of the Bartholin's glands. These are on each side of the opening of the vagina
- a brain abscess - a rare but potentially life-threatening build-up of pus inside the skull
- a dental abscess - a build-up of pus under a tooth or in the supporting gum and bone
- a quinsy (peritonsillar abscess) - a build-up of pus between one of the tonsils and the wall of the throat
- a pilonidal abscess - a build-up of pus in the skin of the cleft of the buttocks (where the buttocks separate)
- a spinal cord abscess - a build-up of pus around the spinal cord",other_types_of_abscess,https://www2.hse.ie/conditions/abscess/#other-types-of-abscess,/conditions/abscess/
abscess::treating_an_abscess,Abscess,What should I know about abscess and treating an abscess?,"A small skin abscess may drain naturally. It may also shrink, dry up and disappear without any treatment.

You may need to treat a larger abscess with antibiotics, or the pus may need to be drained. This is done by inserting a needle through the skin or by making a small incision in the skin over the abscess.

Read more about treating an abscess",treating_an_abscess,https://www2.hse.ie/conditions/abscess/#treating-an-abscess,/conditions/abscess/
abscess::when_to_see_your_gp,Abscess,What should I know about abscess and when to see your gp?,"Talk to your GP if you think you have an abscess. They can examine a skin abscess or refer you to a hospital if they think you might have an internal abscess.

There are several tests available to help diagnose an abscess. The type of test depends on where the abscess is on your body.

Read about diagnosing an abscess",when_to_see_your_gp,https://www2.hse.ie/conditions/abscess/#when-to-see-your-gp,/conditions/abscess/
acute_cholecystitis::symptoms,Acute cholecystitis,What are the symptoms of acute cholecystitis?,"The main symptom of acute cholecystitis is sudden, sharp pain in the upper right of your abdomen (tummy). This pain spreads towards your right shoulder. The pain can last longer than 5 hours.

The affected part of the tummy is usually very tender, and taking deep breaths can make the pain worse.

Some people may have more symptoms, such as:

- a fever (high temperature of 38 degrees Celsius or above)
- feeling or being sick
- sweating
- loss of appetite
- jaundice (yellowing of the skin and the whites of the eyes)
- a bulge in the tummy",symptoms,https://www2.hse.ie/conditions/acute-cholecystitis/#symptoms-of-cholecystitis,/conditions/acute-cholecystitis/
acute_cholecystitis::prevention,Acute cholecystitis,How can acute cholecystitis be prevented?,"It's not always possible to prevent acute cholecystitis. You can reduce your risk of developing it by reducing your risk of getting gallstones.

You may be able to help prevent gallstones by:

- changing your diet
- losing weight - if you're overweight

Preventing gallstones

The gallbladder
The gallbladder is a small, pouch-like organ. It's found underneath the liver. Its main purpose is to store and concentrate bile.
Bile is a liquid produced by the liver to help digest fats. It's passed from the liver into the gallbladder through a series of channels. These are known as bile ducts

The gallbladder is a small, pouch-like organ. It's found underneath the liver. Its main purpose is to store and concentrate bile.

Bile is a liquid produced by the liver to help digest fats. It's passed from the liver into the gallbladder through a series of channels. These are known as bile ducts",prevention,https://www2.hse.ie/conditions/acute-cholecystitis/#preventing-acute-cholecystitis,/conditions/acute-cholecystitis/
acute_cholecystitis::complications_of_acute_cholecystitis,Acute cholecystitis,What should I know about acute cholecystitis and complications of acute cholecystitis?,"Without proper treatment, acute cholecystitis can sometimes lead to life-threatening complications.

The main complications of acute cholecystitis are gangrenous cholecystitis and perforated gallbladder.

Gangrenous cholecystitis is the death of gallbladder tissue. This can cause a serious infection that can spread throughout the body.

Perforated gallbladder is when the gallbladder splits open. This can spread the infection in your tummy. It can also cause an abscess (a build-up of pus).

In about 1 in 5 cases, people need emergency surgery to remove the gallbladder.",complications_of_acute_cholecystitis,https://www2.hse.ie/conditions/acute-cholecystitis/#complications-of-acute-cholecystitis,/conditions/acute-cholecystitis/
acute_cholecystitis::diagnosing_acute_cholecystitis,Acute cholecystitis,What should I know about acute cholecystitis and diagnosing acute cholecystitis?,"Your GP will do a simple test by asking you to take a deep breath with their hand pressed on your tummy, below your rib cage.

Your gallbladder moves downwards as you breathe in. If you have cholecystitis, you'll feel sudden pain when your gallbladder is near your GP's hand.

If you have symptoms of acute cholecystitis, your GP will refer you to a hospital. You will need more tests and treatment.

Tests include:

- blood tests – to check for signs of inflammation in your body
- an ultrasound scan – to check for gallstones or other problems with your gallbladder

You may need other scans, such as an X-ray, CT scan or MRI scan. These can examine your gallbladder in more detail to help confirm your diagnosis.",diagnosing_acute_cholecystitis,https://www2.hse.ie/conditions/acute-cholecystitis/#diagnosing-acute-cholecystitis,/conditions/acute-cholecystitis/
acute_cholecystitis::treating_acute_cholecystitis,Acute cholecystitis,What should I know about acute cholecystitis and treating acute cholecystitis?,"If you have acute cholecystitis, you will need to go to hospital for treatment.

Initial treatment for acute cholecystitis
Initial treatment usually involves:
- fasting (not eating or drinking) to take the strain off your gallbladder
- receiving intravenous (through a drip into a vein) fluids to prevent dehydration
- taking medicine for your pain
You'll also be given antibiotics if you have an infection.
You need to continue treatments for about a week. You may need to stay in hospital.
After initial treatment, any gallstones usually fall back into the gallbladder. The inflammation will often improve.

Initial treatment usually involves:

- fasting (not eating or drinking) to take the strain off your gallbladder
- receiving intravenous (through a drip into a vein) fluids to prevent dehydration
- taking medicine for your pain

You'll also be given antibiotics if you have an infection.

You need to continue treatments for about a week. You may need to stay in hospital.

After initial treatment, any gallstones usually fall back into the gallbladder. The inflammation will often improve.

Surgery to remove the gallbladder
After initial treatment, you may need your gallbladder removed. This prevents acute cholecystitis from coming back. It also reduces your risk of developing serious complications.
Some people without a gallbladder have bloating or diarrhoea after eating certain foods. But it's possible to lead a normal life without a gallbladder.
I's not essential to have a gallbladder. Your liver will still produce bile to digest food.
Gallbladder removal

After initial treatment, you may need your gallbladder removed. This prevents acute cholecystitis from coming back. It also reduces your risk of developing serious complications.

Some people without a gallbladder have bloating or diarrhoea after eating certain foods. But it's possible to lead a normal life without a gallbladder.

I's not essential to have a gallbladder. Your liver will still produce bile to digest food.

Gallbladder removal",treating_acute_cholecystitis,https://www2.hse.ie/conditions/acute-cholecystitis/#treating-acute-cholecystitis,/conditions/acute-cholecystitis/
acute_cholecystitis::types_of_acute_cholecystitis,Acute cholecystitis,What should I know about acute cholecystitis and types of acute cholecystitis?,"There are 2 types of acute cholecystitis:

- calculous cholecystitis
- acalculous cholecystitis

Causes of calculous cholecystitis
Calculous cholecystitis is the less serious type but is the most common type of acute cholecystitis.
Calculous cholecystitis develops when a gallstone or biliary sludge blocks the cystic duct.
Biliary sludge is a mixture of bile, and small cholesterol and salt crystals. Bile is a liquid produced by the liver that helps digest fats.
The blockage in the cystic duct causes bile to build up in the gallbladder. The pressure inside the gallbladder increases and it becomes inflamed (swollen).
In around 1 in 5 cases, the inflamed gallbladder also becomes infected by bacteria.

Calculous cholecystitis is the less serious type but is the most common type of acute cholecystitis.

Calculous cholecystitis develops when a gallstone or biliary sludge blocks the cystic duct.

Biliary sludge is a mixture of bile, and small cholesterol and salt crystals. Bile is a liquid produced by the liver that helps digest fats.

The blockage in the cystic duct causes bile to build up in the gallbladder. The pressure inside the gallbladder increases and it becomes inflamed (swollen).

In around 1 in 5 cases, the inflamed gallbladder also becomes infected by bacteria.

Causes of acalculous cholecystitis
Acalculous cholecystitis is a less common type of acute cholecystitis. It is usually more serious than other types.
It usually develops as a complication of a serious illness, infection or injury.
Acalculous cholecystitis can happen after accidental damage to the gallbladder caused by:
- major surgery
- serious injuries or burns
- sepsis
- severe malnutrition
- HIV/AIDS

Acalculous cholecystitis is a less common type of acute cholecystitis. It is usually more serious than other types.

It usually develops as a complication of a serious illness, infection or injury.

Acalculous cholecystitis can happen after accidental damage to the gallbladder caused by:

- major surgery
- serious injuries or burns
- sepsis
- severe malnutrition
- HIV/AIDS",types_of_acute_cholecystitis,https://www2.hse.ie/conditions/acute-cholecystitis/#types-of-acute-cholecystitis,/conditions/acute-cholecystitis/
addisons_disease::symptoms,Addison's disease,What are the symptoms of addison's disease?,"Early symptoms of Addison's disease are like other more common health conditions. For example depression or flu .

You may experience:

- lack of energy or motivation (fatigue)
- muscle weakness
- low mood
- loss of appetite and unintentional weight loss
- increased thirst

Over time, these problems may become more severe. You may experience further symptoms, such as dizziness, fainting, cramps and exhaustion. You may also develop small areas of darkened skin, or darkened lips or gums.

These symptoms are not always caused by Addison's disease. But you should see a GP so they can be investigated.

Symptoms of Addison's disease",symptoms,https://www2.hse.ie/conditions/addisons-disease/#symptoms-of-addisons-disease,/conditions/addisons-disease/
addisons_disease::causes,Addison's disease,What causes addison's disease?,"The condition is usually the result of a problem with the immune system. It causes it to attack the outer layer of the adrenal gland (the adrenal cortex). This disrupts the production of the steroid hormones aldosterone and cortisol.

It's not clear why this happens, but it's responsible for 70% to 90% of cases in Ireland.

Other causes include conditions that can damage the adrenal glands, such as tuberculosis (TB). But this is not common in Ireland.

Causes of Addison's disease",causes,https://www2.hse.ie/conditions/addisons-disease/#causes-of-addisons-disease,/conditions/addisons-disease/
addisons_disease::treating_addisons_disease,Addison's disease,What should I know about addison's disease and treating addisons disease?,"Addison's disease is treated with medication to replace the missing hormones. You'll need to take the medication for the rest of your life.

With treatment, symptoms of Addison's disease can be controlled. Most people with the condition have a normal lifespan. They are able to live an active life with few limitations.

But many people with Addison's disease also find they must learn to manage bouts of fatigue. There may also be related health conditions, like diabetes or an underactive thyroid.

People with Addison's disease must be aware of the risk of their symptoms suddenly getting worse. This could be an adrenal crisis. This can happen when the levels of cortisol in your body fall significantly.

An adrenal crisis is a medical emergency. If left untreated, it can be fatal.",treating_addisons_disease,https://www2.hse.ie/conditions/addisons-disease/#treating-addisons-disease,/conditions/addisons-disease/
adults_-_dehydration::symptoms,Adults - Dehydration,What are the symptoms of adults - dehydration?,"Symptoms of dehydration in adults and children include:

- feeling thirsty
- dark yellow, strong-smelling pee - healthy pee should look pale yellow
- feeling dizzy or lightheaded
- feeling tired
- a dry mouth, lips or tongue
- sunken eyes
- peeing smaller amounts than usual and fewer than 4 times a day

There are some more signs of dehydration in children .",symptoms,https://www2.hse.ie/conditions/dehydration/#symptoms-of-dehydration,/conditions/dehydration/
adults_-_dehydration::causes,Adults - Dehydration,What causes adults - dehydration?,"Dehydration can happen more easily if you have:

- a high temperature of 38 degrees Celsius or more
- diabetes
- been vomiting or have diarrhoea
- been in the sun too long ( heatstroke )
- drank too much alcohol
- exercised and sweated a lot
- been taking medicines that make you pee more (diuretics)
- symptoms of flu or COVID-19",causes,https://www2.hse.ie/conditions/dehydration/#causes-of-dehydration,/conditions/dehydration/
adults_-_dehydration::reduce_the_risk_of_dehydration,Adults - Dehydration,What should I know about adults - dehydration and reduce the risk of dehydration?,There are things you can do to reduce the risk of dehydration.,reduce_the_risk_of_dehydration,https://www2.hse.ie/conditions/dehydration/#reduce-the-risk-of-dehydration,/conditions/dehydration/
adults_-_dehydration::treating_dehydration,Adults - Dehydration,What should I know about adults - dehydration and treating dehydration?,"Drink more fluids when you feel any dehydration symptoms.

If you're vomiting or have diarrhoea and are losing too much fluid, you need to put back the sugar, salts and minerals that your body has lost.

The best fluids to drink are:

- water
- oral rehydration sachets

Your pharmacist can recommend oral rehydration sachets. These are powders that you mix with water and then drink. Ask your pharmacist which ones are right for you or your child.

If you are very ill, ask someone else to go to the pharmacy for you.

If you find it hard to drink because you feel sick or have been vomiting, start with small sips and then gradually drink more.",treating_dehydration,https://www2.hse.ie/conditions/dehydration/#treating-dehydration,/conditions/dehydration/
allergies::symptoms,Allergies,What are the symptoms of allergies?,"Allergic reactions usually happen within a few minutes of exposure to an allergen.

They can cause:

- sneezing
- a runny or blocked nose
- red, itchy, watery eyes
- wheezing and coughing
- a red, itchy rash
- worsening of asthma or eczema symptoms",symptoms,https://www2.hse.ie/conditions/allergies/#symptoms-of-an-allergic-reaction,/conditions/allergies/
allergies::causes,Allergies,What causes allergies?,"Allergies happen when your body's immune system reacts to a particular substance as though it's harmful.

The number of people with allergies increases every year. The reasons for this are not understood. It could be the result of living in a cleaner, germ-free environment. This reduces the number of germs our immune system has to deal with.",causes,https://www2.hse.ie/conditions/allergies/#causes-of-allergies,/conditions/allergies/
allergies::allergies_sensitivities_intolerances,Allergies,What should I know about allergies and allergies sensitivities intolerances?,"Allergy
A reaction the body has to a substance.

A reaction the body has to a substance.

Sensitivity
The exaggeration of the normal effects of a substance. For example, the caffeine in a cup of coffee may cause extreme symptoms, such as palpitations and trembling.

The exaggeration of the normal effects of a substance. For example, the caffeine in a cup of coffee may cause extreme symptoms, such as palpitations and trembling.

Intolerance
Where a substance causes unpleasant symptoms, such as diarrhoea, but does not involve the immune system. People with an intolerance to certain foods can often eat a small amount without having any problems.

Where a substance causes unpleasant symptoms, such as diarrhoea, but does not involve the immune system. People with an intolerance to certain foods can often eat a small amount without having any problems.",allergies_sensitivities_intolerances,https://www2.hse.ie/conditions/allergies/#allergies-sensitivities-intolerances,/conditions/allergies/
allergies::common_allergies,Allergies,What should I know about allergies and common allergies?,"Substances that cause allergic reactions are called allergens.

The more common allergens include:

- grass and tree pollen – an allergy to these is known as hay fever (allergic rhinitis)
- dust mites
- flakes of skin or hair from animals
- food – particularly nuts, fruit, shellfish, eggs and cows' milk
- insect bites and stings
- medicines – including ibuprofen, aspirin and certain antibiotics
- latex – used to make some gloves and condoms
- mould – these can release small particles into the air that you can breathe in
- household chemicals – including those in detergents and hair dyes

Most of these allergens are harmless to people who are not allergic to them.",common_allergies,https://www2.hse.ie/conditions/allergies/#common-allergies,/conditions/allergies/
allergies::getting_help_for_allergies,Allergies,What should I know about allergies and getting help for allergies?,"Contact your GP if you think you or your child might have had an allergic reaction to something.

The symptoms of an allergic reaction can also be caused by other conditions.

Your GP can help find out if you have an allergy. If you have a mild allergy, they can offer advice and treatment to help manage the condition. They may refer you to an allergy specialist for testing and treatment, if your allergy is severe or the cause is not known.",getting_help_for_allergies,https://www2.hse.ie/conditions/allergies/#getting-help-for-allergies,/conditions/allergies/
allergies::managing_an_allergy,Allergies,What should I know about allergies and managing an allergy?,"The most effective way of managing an allergy is to avoid the allergen that causes the reaction.

For example, if you have a food allergy, check a food's ingredients list for the allergen before eating it.

Medicines that help control symptoms of allergic reactions include:

- antihistamines – you can take these when you notice the symptoms of a reaction, or before being exposed to an allergen, to stop a reaction occurring
- decongestants – tablets, capsules, nasal sprays or liquids used as a short-term treatment for a blocked nose
- lotions and creams, such as moisturising creams (emollients) can reduce skin redness and itchiness
- steroid medicines – can help reduce redness and swelling caused by an allergic reaction

If you have a very severe allergy, you may need immunotherapy. Immunotherapy exposes you to the allergen in a controlled way over a period of time. Your body gets used to it and does not react to it so severely.",managing_an_allergy,https://www2.hse.ie/conditions/allergies/#managing-an-allergy,/conditions/allergies/
alpha-1_antitrypsin_deficiency::symptoms,Alpha-1 antitrypsin deficiency,What are the symptoms of alpha-1 antitrypsin deficiency?,"People with AAT deficiency may not develop related diseases and may have no symptoms. You might never know you have the disorder. People who have symptoms usually notice them between ages 20 and 50.

The symptoms of AAT deficiency are like those caused by chronic obstructive pulmonary disease (COPD).

Symptoms may include:

- increasing shortness of breath
- a chesty cough with phlegm that never seems to go away
- frequent chest infections
- ongoing wheezing

Symptoms may increase when you have a cold or flu.

When the liver is affected by AAT deficiency, symptoms may include:

- tiredness
- loss of appetite
- weight loss
- swelling of the feet or belly
- yellowish discolouration of the skin (jaundice) or the white part of the eyes
- vomiting of blood
- blood in your poo

Talk to your GP if you have these symptoms.",symptoms,https://www2.hse.ie/conditions/alpha-1-antitrypsin-deficiency/#symptoms-of-aat-deficiency,/conditions/alpha-1-antitrypsin-deficiency/
alpha-1_antitrypsin_deficiency::treatment,Alpha-1 antitrypsin deficiency,What is the treatment for alpha-1 antitrypsin deficiency?,"AAT deficiency has no cure. You may need oxygen therapy, pulmonary rehabilitation, or medicines to treat complications. If you smoke, you should stop. You should also avoid secondhand smoke and other harmful fumes.

If you have complications from AAT deficiency, you may also need:

- medicines called inhaled bronchodilators and inhaled steroids - these medicines help open your airways and make breathing easier
- oxygen therapy
- pulmonary rehabilitation
- a lung transplant - only if you have very severe breathing problems and have a good chance of surviving the transplant surgery",treatment,https://www2.hse.ie/conditions/alpha-1-antitrypsin-deficiency/#treatment-for-aat-deficiency,/conditions/alpha-1-antitrypsin-deficiency/
alpha-1_antitrypsin_deficiency::living_with,Alpha-1 antitrypsin deficiency,What is it like to live with alpha-1 antitrypsin deficiency?,"If you have AAT deficiency, you may have a related lung or liver disease. Ongoing medical care and lifestyle changes can help you manage your health.

Regular follow-up care is important.

You will need to:

- have regular pulmonary (lung) function tests or imaging tests to monitor your condition
- get the flu and pneumococcal vaccines to protect you from illnesses that may worsen your condition
- continue to take all your medicines as prescribed and follow your treatment plan

If you have a lung infection or any breathing problems you will need immediate treatment.

The Alpha-1 foundation Ireland website has more information and supports for living with AAT.",living_with,https://www2.hse.ie/conditions/alpha-1-antitrypsin-deficiency/#living-with-aat-deficiency,/conditions/alpha-1-antitrypsin-deficiency/
alpha-1_antitrypsin_deficiency::diagnosing_aat_deficiency,Alpha-1 antitrypsin deficiency,What should I know about alpha-1 antitrypsin deficiency and diagnosing aat deficiency?,AAT deficiency runs in families. Many people do not know that they have it. Early diagnosis can help prevent serious lung disease.,diagnosing_aat_deficiency,https://www2.hse.ie/conditions/alpha-1-antitrypsin-deficiency/#diagnosing-aat-deficiency,/conditions/alpha-1-antitrypsin-deficiency/
anabolic_steroid_misuse::addiction,Anabolic steroid misuse,What should I know about anabolic steroid misuse and addiction?,"Anabolic steroids are addictive.

This means you can crave the drug and need more to get the same effect. You can have withdrawal symptoms if you suddenly stop taking them.

A person who is addicted to anabolic steroids will want to keep using them despite having unpleasant side effects.

When GPs prescribe steroid medicine, they always advise coming off the medicine slowly by gradually reducing the dose.

Stopping anabolic steroids suddenly can result in withdrawal symptoms that include:

- depression and apathy
- anxiety
- difficulty concentrating
- insomnia
- anorexia
- lower sex drive
- extreme tiredness (fatigue)
- headaches
- muscle and joint pain",addiction,https://www2.hse.ie/conditions/anabolic-steroid-misuse/#addiction,/conditions/anabolic-steroid-misuse/
